Active Commuters,Active Providers,Total Transactions,Active NFT Listings,Average NFT Price,Completed Trips,AMM Pools,AMM Trading Volume,Execution Time
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.180414701762952e-05, 'provider_offers': 0.0001823600969816509, 'marketplace_update': 4.070683529502467e-06, 'blockchain_operations': 0.02059107830649928}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.119278113047282e-05, 'provider_offers': 0.00018245975176493326, 'marketplace_update': 4.050632317860921e-06, 'blockchain_operations': 0.020376741886138916}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.058910487853375e-05, 'provider_offers': 0.0001824565769470844, 'marketplace_update': 4.028536609767639e-06, 'blockchain_operations': 0.020166839520955823}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 7.000018139274752e-05, 'provider_offers': 0.0001825045566169583, 'marketplace_update': 3.997160463917012e-06, 'blockchain_operations': 0.019961208713297943}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.942315535111861e-05, 'provider_offers': 0.0001825900992961845, 'marketplace_update': 3.968826448074495e-06, 'blockchain_operations': 0.019759741696444424}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.885766983032227e-05, 'provider_offers': 0.00018256425857543946, 'marketplace_update': 3.950595855712891e-06, 'blockchain_operations': 0.01956230401992798}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.831282436257541e-05, 'provider_offers': 0.0001823807706927309, 'marketplace_update': 3.920923365224706e-06, 'blockchain_operations': 0.019368816130232103}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.775996264289407e-05, 'provider_offers': 0.00018228970321954466, 'marketplace_update': 3.891832688275506e-06, 'blockchain_operations': 0.019179073034548293}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.723866879361348e-05, 'provider_offers': 0.00018255918928720418, 'marketplace_update': 3.874880596271996e-06, 'blockchain_operations': 0.018993035103510886}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.671822988069974e-05, 'provider_offers': 0.00018277535071739784, 'marketplace_update': 3.867424451387846e-06, 'blockchain_operations': 0.018810572532507088}"
45,4,41,0,0,41,0,0,"{'commuter_decisions': 6.620770408993676e-05, 'provider_offers': 0.00018291019258045014, 'marketplace_update': 3.841945103236607e-06, 'blockchain_operations': 0.018631567273821148}"
46,4,41,0,0,41,0,0,"{'commuter_decisions': 6.637483272912368e-05, 'provider_offers': 0.00018304473948928544, 'marketplace_update': 3.823694193138266e-06, 'blockchain_operations': 0.018455939472846267}"
46,4,41,0,0,41,0,0,"{'commuter_decisions': 6.614667232905593e-05, 'provider_offers': 0.0001834174182927497, 'marketplace_update': 3.8258383207232035e-06, 'blockchain_operations': 0.01873674348135975}"
46,4,42,0,0,42,0,0,"{'commuter_decisions': 6.566445032755534e-05, 'provider_offers': 0.00018356023011384187, 'marketplace_update': 3.819112424497251e-06, 'blockchain_operations': 0.018563403023613825}"
46,4,42,0,0,42,0,0,"{'commuter_decisions': 6.518232713051892e-05, 'provider_offers': 0.00018367198629116793, 'marketplace_update': 3.803760633556121e-06, 'blockchain_operations': 0.018393243124725622}"
47,4,42,0,0,42,0,0,"{'commuter_decisions': 6.527900695800782e-05, 'provider_offers': 0.00018466602672230113, 'marketplace_update': 3.797357732599432e-06, 'blockchain_operations': 0.01822617920962247}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.493577012070664e-05, 'provider_offers': 0.0001849548236743824, 'marketplace_update': 3.7910701992275478e-06, 'blockchain_operations': 0.018062140490557696}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.447306701115199e-05, 'provider_offers': 0.0001850788082395281, 'marketplace_update': 3.7763799939836773e-06, 'blockchain_operations': 0.01790101400443486}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.401855333716469e-05, 'provider_offers': 0.00018571330382760647, 'marketplace_update': 3.7703893880928513e-06, 'blockchain_operations': 0.017742749864021235}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.356783080519291e-05, 'provider_offers': 0.00018592048109623423, 'marketplace_update': 3.754046925327234e-06, 'blockchain_operations': 0.017587289475558095}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.312494692595109e-05, 'provider_offers': 0.0001859996629797894, 'marketplace_update': 3.7400618843410326e-06, 'blockchain_operations': 0.017434497501539147}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.273491629238786e-05, 'provider_offers': 0.0001864638821832065, 'marketplace_update': 3.73248396248653e-06, 'blockchain_operations': 0.01728438919988172}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.231894859900841e-05, 'provider_offers': 0.00018664914318638988, 'marketplace_update': 3.7148467495910122e-06, 'blockchain_operations': 0.01713679590795794}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.19019492197845e-05, 'provider_offers': 0.00018674438282594843, 'marketplace_update': 3.701549465373411e-06, 'blockchain_operations': 0.0169917890581034}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.14819406461315e-05, 'provider_offers': 0.0001867618881353811, 'marketplace_update': 3.688475664924173e-06, 'blockchain_operations': 0.01684915117856835}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.106893221537272e-05, 'provider_offers': 0.00018676320711771648, 'marketplace_update': 3.6756197611490884e-06, 'blockchain_operations': 0.016708876689275107}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.0712010407250776e-05, 'provider_offers': 0.00018679800112385395, 'marketplace_update': 3.6610059501711e-06, 'blockchain_operations': 0.016570977928224675}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 6.032185476334368e-05, 'provider_offers': 0.0001868244077338547, 'marketplace_update': 3.646631709864882e-06, 'blockchain_operations': 0.016435279220831198}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.9928351301487865e-05, 'provider_offers': 0.0001868426315183562, 'marketplace_update': 3.624737747316438e-06, 'blockchain_operations': 0.016301788934847204}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.954119466966198e-05, 'provider_offers': 0.00018693362512896137, 'marketplace_update': 3.6108878351026964e-06, 'blockchain_operations': 0.016170451717991984}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.916023254394531e-05, 'provider_offers': 0.00018695831298828124, 'marketplace_update': 3.589630126953125e-06, 'blockchain_operations': 0.01604121780395508}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.8785317436097164e-05, 'provider_offers': 0.00018703937530517578, 'marketplace_update': 3.570602053687686e-06, 'blockchain_operations': 0.01591403332967607}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.841818381482222e-05, 'provider_offers': 0.0001873369292011411, 'marketplace_update': 3.5518736351193406e-06, 'blockchain_operations': 0.015788849883192166}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.805306136608124e-05, 'provider_offers': 0.00018746033310890198, 'marketplace_update': 3.5315752029418945e-06, 'blockchain_operations': 0.015665633603930473}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.7697296142578125e-05, 'provider_offers': 0.00018745614576709362, 'marketplace_update': 3.5189842992974805e-06, 'blockchain_operations': 0.015544325806373773}"
47,4,43,0,0,43,0,0,"{'commuter_decisions': 5.734700423020583e-05, 'provider_offers': 0.00018769777738131008, 'marketplace_update': 3.5139230581430286e-06, 'blockchain_operations': 0.015424878780658428}"
